CustomerID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
458989,Female,Yes,36,Yes,Engineer,0,Low,1,Cat_6
458994,Male,Yes,37,Yes,Healthcare,8,Average,4,Cat_6
458996,Female,Yes,69,No,,0,Low,1,Cat_6
459000,Male,Yes,59,No,Executive,11,High,2,Cat_6
459001,Female,No,19,No,Marketing,,Low,4,Cat_6
459003,Male,Yes,47,Yes,Doctor,0,High,5,Cat_4
459005,Male,Yes,61,Yes,Doctor,5,Low,3,Cat_6
459008,Female,Yes,47,Yes,Artist,1,Average,3,Cat_6
459013,Male,Yes,50,Yes,Artist,2,Average,4,Cat_6
459014,Male,No,19,No,Healthcare,0,Low,4,Cat_6
459015,Male,No,22,No,Healthcare,0,Low,3,Cat_6
459016,Female,No,22,No,Healthcare,0,Low,6,Cat_6
459024,Male,Yes,50,Yes,Artist,1,Average,5,Cat_6
459026,Male,No,27,No,Healthcare,8,Low,3,Cat_3
459032,Male,No,18,No,Doctor,0,Low,3,Cat_6
459033,Female,Yes,61,Yes,Artist,0,Low,1,Cat_6
459034.275,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3
459037.0647,Male,Yes,45,Yes,Artist,1,Average,2,Cat_6
459039.8544,Male,Yes,55,Yes,Artist,8,Low,1,Cat_6
459042.6441,Female,Yes,88,Yes,Lawyer,1,Average,4,Cat_6
459045.4338,Male,Yes,63,No,Executive,,High,3,Cat_6
459048.2235,Male,Yes,69,No,Lawyer,,High,,Cat_6
459051.0132,Male,No,42,Yes,Artist,0,Low,4,Cat_3
459053.8029,Male,Yes,79,No,Executive,,High,2,Cat_6
459056.5926,Female,Yes,35,Yes,Healthcare,9,High,3,Cat_6
459059.3824,Male,Yes,27,No,Executive,5,High,4,Cat_6
459062.1721,Male,Yes,52,Yes,Engineer,,Low,2,Cat_6
459064.9618,Female,No,29,Yes,Healthcare,0,Low,4,Cat_4
459067.7515,Female,Yes,79,No,Lawyer,1,High,2,Cat_6
459070.5412,Male,Yes,87,Yes,Lawyer,,High,2,Cat_6
459073.3309,Male,Yes,89,No,Lawyer,1,Low,2,Cat_6
459076.1206,Male,Yes,63,Yes,Artist,9,Average,3,
459078.9103,Male,No,31,No,Artist,1,Low,2,Cat_6
459081.7,Male,Yes,72,Yes,Artist,1,Average,6,Cat_1
459084.4897,Female,Yes,41,Yes,Doctor,9,Average,2,
459087.2794,Female,No,61,Yes,Artist,11,Low,1,Cat_6
459090.0691,Male,Yes,62,Yes,Artist,0,Low,2,Cat_6
459092.8588,Male,Yes,56,Yes,Artist,1,Average,2,Cat_6
459095.6485,Male,Yes,60,Yes,Artist,2,Average,5,Cat_6
459098.4382,Male,Yes,68,Yes,Artist,0,High,2,Cat_6
459101.2279,Male,No,19,No,Healthcare,,Low,8,Cat_6
459104.0176,Male,Yes,57,Yes,Executive,8,High,3,Cat_6
459106.8074,Male,No,19,No,Healthcare,5,Low,5,Cat_2
459109.5971,Female,Yes,51,Yes,Artist,3,Average,6,Cat_6
459112.3868,Female,Yes,86,No,Artist,1,High,2,Cat_6
459115.1765,Female,Yes,74,No,Lawyer,1,High,2,Cat_6
459117.9662,Male,No,23,No,Entertainment,6,Low,2,Cat_6
459120.7559,Male,Yes,47,Yes,Artist,0,Average,2,Cat_6
459123.5456,Female,No,19,No,Healthcare,7,Low,6,Cat_6
459126.3353,Male,Yes,50,No,Artist,0,High,4,Cat_6
459129.125,Male,Yes,80,Yes,Lawyer,,High,2,Cat_6
459131.9147,Male,Yes,78,No,Lawyer,,Low,1,Cat_2
459134.7044,Female,No,48,Yes,Doctor,0,Low,1,Cat_6
459137.4941,Male,Yes,70,Yes,Doctor,1,Average,2,Cat_6
459140.2838,Male,Yes,50,Yes,Executive,3,High,5,Cat_6
459143.0735,Female,Yes,83,Yes,Lawyer,0,High,2,Cat_6
459145.8632,Male,No,35,Yes,Entertainment,0,Low,1,Cat_6
459148.6529,Female,No,36,Yes,Artist,0,Low,2,Cat_5
459151.4426,Female,No,35,Yes,Artist,1,Low,1,Cat_6
459154.2324,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6
