CustomerID,StockCode,Description,Quantity,InvoiceDate,UnitPrice,InvoiceNo,Country
458989,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-10 08:26,2.55,17850,United Kingdom
458994,71053,WHITE METAL LANTERN,6,12-01-10 08:26,3.39,17850,United Kingdom
458996,84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-10 08:26,2.75,17850,United Kingdom
459000,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-10 08:26,3.39,17850,United Kingdom
459001,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-10 08:26,3.39,17850,United Kingdom
459003,22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-10 08:26,7.65,17850,United Kingdom
459005,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-10 08:26,4.25,17850,United Kingdom
459008,22633,HAND WARMER UNION JACK,6,12-01-10 08:28,1.85,17850,United Kingdom
459013,22632,HAND WARMER RED POLKA DOT,6,12-01-10 08:28,1.85,17850,United Kingdom
459014,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12-01-10 08:34,1.69,13047,United Kingdom
459015,22745,POPPY'S PLAYHOUSE BEDROOM ,6,12-01-10 08:34,2.1,13047,United Kingdom
459016,22748,POPPY'S PLAYHOUSE KITCHEN,6,12-01-10 08:34,2.1,13047,United Kingdom
459024,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12-01-10 08:34,3.75,13047,United Kingdom
459026,22310,IVORY KNITTED MUG COSY ,6,12-01-10 08:34,1.65,13047,United Kingdom
459032,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12-01-10 08:34,4.25,13047,United Kingdom
459033,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12-01-10 08:34,4.95,13047,United Kingdom
459034.275,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12-01-10 08:34,9.95,13047,United Kingdom
459037.0647,21754,HOME BUILDING BLOCK WORD,3,12-01-10 08:34,5.95,13047,United Kingdom
459039.8544,21755,LOVE BUILDING BLOCK WORD,3,12-01-10 08:34,5.95,13047,United Kingdom
459042.6441,21777,RECIPE BOX WITH METAL HEART,4,12-01-10 08:34,7.95,13047,United Kingdom
459045.4338,48187,DOORMAT NEW ENGLAND,4,12-01-10 08:34,7.95,13047,United Kingdom
459048.2235,22960,JAM MAKING SET WITH JARS,6,12-01-10 08:34,4.25,13047,United Kingdom
459051.0132,22913,RED COAT RACK PARIS FASHION,3,12-01-10 08:34,4.95,13047,United Kingdom
459053.8029,22912,YELLOW COAT RACK PARIS FASHION,3,12-01-10 08:34,4.95,13047,United Kingdom
459056.5926,22914,BLUE COAT RACK PARIS FASHION,3,12-01-10 08:34,4.95,13047,United Kingdom
459059.3824,21756,BATH BUILDING BLOCK WORD,3,12-01-10 08:35,5.95,13047,United Kingdom
459062.1721,22728,ALARM CLOCK BAKELIKE PINK,24,12-01-10 08:45,3.75,12583,France
459064.9618,22727,ALARM CLOCK BAKELIKE RED ,24,12-01-10 08:45,3.75,12583,France
459067.7515,22726,ALARM CLOCK BAKELIKE GREEN,12,12-01-10 08:45,3.75,12583,France
459070.5412,21724,PANDA AND BUNNIES STICKER SHEET,12,12-01-10 08:45,0.85,12583,France
459073.3309,21883,STARS GIFT TAPE ,24,12-01-10 08:45,0.65,12583,France
459076.1206,10002,INFLATABLE POLITICAL GLOBE ,48,12-01-10 08:45,0.85,12583,France
459078.9103,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12-01-10 08:45,1.25,12583,France
459081.7,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12-01-10 08:45,2.95,12583,France
459084.4897,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12-01-10 08:45,2.95,12583,France
459087.2794,22629,SPACEBOY LUNCH BOX ,24,12-01-10 08:45,1.95,12583,France
459090.0691,22659,LUNCH BOX I LOVE LONDON,24,12-01-10 08:45,1.95,12583,France
459092.8588,22631,CIRCUS PARADE LUNCH BOX ,24,12-01-10 08:45,1.95,12583,France
459095.6485,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12-01-10 08:45,0.85,12583,France
459098.4382,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12-01-10 08:45,1.65,12583,France
459101.2279,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12-01-10 08:45,2.95,12583,France
459104.0176,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12-01-10 08:45,3.75,12583,France
459106.8074,22540,MINI JIGSAW CIRCUS PARADE ,24,12-01-10 08:45,0.42,12583,France
459109.5971,22544,MINI JIGSAW SPACEBOY,24,12-01-10 08:45,0.42,12583,France
459112.3868,22492,MINI PAINT SET VINTAGE ,36,12-01-10 08:45,0.65,12583,France
459115.1765,POST,POSTAGE,3,12-01-10 08:45,18,12583,France
459117.9662,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12-01-10 09:00,2.55,13748,United Kingdom
459120.7559,22632,HAND WARMER RED POLKA DOT,6,12-01-10 09:01,1.85,17850,United Kingdom
459123.5456,22633,HAND WARMER UNION JACK,6,12-01-10 09:01,1.85,17850,United Kingdom
459126.3353,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-10 09:02,2.55,17850,United Kingdom
459129.125,71053,WHITE METAL LANTERN,6,12-01-10 09:02,3.39,17850,United Kingdom
459131.9147,84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-10 09:02,2.75,17850,United Kingdom
459134.7044,20679,EDWARDIAN PARASOL RED,6,12-01-10 09:02,4.95,17850,United Kingdom
459137.4941,37370,RETRO COFFEE MUGS ASSORTED,6,12-01-10 09:02,1.06,17850,United Kingdom
459140.2838,21871,SAVE THE PLANET MUG,6,12-01-10 09:02,1.06,17850,United Kingdom
459143.0735,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12-01-10 09:02,1.06,17850,United Kingdom
459145.8632,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12-01-10 09:02,1.06,17850,United Kingdom
